"请大家推荐新泽西附近（可以包括附近州，3小时车程以内吧）溜娃圣地候选名单","","",""
"例 溜娃场地名字，city，state，离桥水多少分钟车程","","",""
"","车程","价格","Tips"
"1. Kidstreet Playground，Bridgewater，NJ","0分钟","Free",""
"2. Liberty Science Center，Jersey City，NJ","40分钟","Free with BOA card","需要疫苗证明， BOA卡每个月第一个周末持卡人免费，某些公司员工免费"
"3. American Dream, East Rutherford, NJ","1小时","",""
"4. Please Touch Museum, Philadelphia, PA","1个半小时","建议合买年票",""
"5. Sky Zone Trampoline Park","半小时","",""
"6. Urban Air Trampoline, Milltown, NJ","半小时","",""
"7. Monster Mini Golf, Edison","半小时","",""
"8. Bowlero, Green Brook, NJ","10分钟","",""
"9. Six Flags and Safari, Jackson, NJ","1小时","建议年票",""
"10. Turtle back zoo","40分钟","建议合买年票",""
"11. Morris Museum ","半小时","Free with 图书馆pass",""
"12. 水族馆 Adventure Aquarium","1个半小时","",""
"13. 费城恐龙自然博物馆","1个半小时","Free with 图书馆pass",""
"14. NYBG 植物园","1个半小时","建议合买年票",""
"15. Medieval Times, Lyndhurst, NJ","1小时","",""
"16. Colonial Park, Somerset, NJ","15分钟","",""
"17. Johnson Park, Piscataway, NJ","半小时","",""
"18. Arthur lewis park, Green brook, NJ","20分钟","",""
"19. Brooklyn Botanic Garden植物园","1-1.5小时","Free with 图书馆pass",""
"20. Imagine that博物馆","半小时","Free with 图书馆pass",""
"21. Duke Island Park","","",""
"22. Duke farm","","",""
"23. Round valley ","20分钟","",""
"24. Hacklebarney ","半小时","",""
"25. Washington Valley","","",""
"26. Big Brook Park挖化石 ","1小时","",""
"27. Bronx Zoo","1-1.5小时","建议合买年票",""
"28. Cape May Zoo ","两小时","Free",""
"29. Point pleasant beach and Jenkinson's Aquarium +海边的小游乐场","","",""
"30. RPM Raceway, Jersey City, NJ,","1小时","",""
"31. Crayola Experience，Crayola Experience, 30 Centre Square, Easton, PA 18042","1小时","",""
"32. Hershey’s  Chocolate Factory","两小时","",""
"33. Seven Presidents Oceanfront Park，long branch","1小时","",""
"34. Diggerland，南泽西费城附近","一个半小时","",""
"35. Sandy Hook beach","1小时","","可以挖蛏子，parking lot B尽头过马路到对面"
"36. Kids Castle central park 费城北郊","1小时","Free","豪华版playground，可以hiking"
"37. Gravity Vault。Flemington","半小时","",""
"38. Kids Empire，桥水/Manville交界处","10-15 min","","下雨天给娃放电的好去处"
"39. Seaquest室内动物园，Woodbridge mall地下层","半小时","",""
"40. Wild West City, 西部小镇，有live action Cowboy gun fight","50分钟","",""
"41. The Sterling Hill Mining Museum, 最大的锌矿","1小时","",""
"42. ClubAir Warren","","",""
"43. little gym, 133 Stryker Ln, Hillsborough Township, NJ 08844","","",""
"44. The Bucks County Children's Museum, 36分钟","","",""
"45. The American Museum of Natural History - 200 Central Park West, Nee York. 开车约一小时。","","",""
"46. Yestercades of Somerville, 10分钟","","",""
"47. Grounds of Sculpture, 一个小时不到","","",""
"48. Funplex, East Hanover 半小时左右","","",""
"49. Tac Ops, Fairfield, 40来分钟","","",""
"50. Iplay America, Freehold 50分钟","","",""
"51. Dave & Buster, Woodbridge, 半小时","","",""
"52. Treetop adventure 40分钟","","",""
"看红叶去处","","",""
"1. Belleayre Mountain ~ 2.5小时","","",""
"缆车费 $20 per addult, $10 per child over 6, free for children 6 and under","","",""
"一般十月初一个周末是fall festival，看红叶时机不错。","","",""
"Webcam","","",""
"https://www.belleayre.com/mountain/web-cams/","","",""
"2. Hunter Mountain ~ 2.5小时","","",""
"缆车费 $20 per addult, $15 per child over 2","","",""
"一般十月的前三个周末是fall festival，一般是Belleayre Mountain Fall Festival前面一个周末到后面一个周末","","",""
"Webcam","","",""
"https://www.huntermtn.com/the-mountain/mountain-conditions/mountain-cams.aspx","","",""
"3. Minnewaska State Park Preserve ~ 2小时","","",""
"$10 per vehicle","","",""
"秋季农场","","",""
"Snyder Farm ~25 min路程 Fall Festival 10/1-10/23 Weekends 11am to 6pm","","",""
"$18 per person (including Corn Maze, Big Slide, Hamster Wheel, Corn cribs, Bowling, Spider Web, Corn Hole, Basketball/Football Toss, Rubber Duck Race etc.)","","",""
"Additional charge activities: Jumbo Jumper, Corn Cannons","","",""
"Ort Farm ~30 min路程 Fall Festival 9/24-?","","",""
"$9.95 per person","","",""
"Additional charge activities: cow train, apple cannon, corn maze, pony rides, monster truck etc.","","",""
"Alstede Farms ~30 min路程","","",""
"Weekend and Holiday Prices: PYO – Entry Ticket + Pint or 1/4 Peck Bag: $26.99 (including Sunflower Trail and Corn Maze)","","",""
"Children’s Activity Tickets: Pony Ride Ticket: $9.99, Wagon Train Ride Ticket: $4.99, Bouncy House Ticket $4.99","","",""
"Holland Ridge Farms ~60 min路程 Sunflower Festival 9/23-10/23 9am to 6pm","","",""
"$13 per person (10/8-10: Family Fun Columbus Day Weekend, FREE face painting, balloon animals, airbrush tattoos, caricatures, plus an impressive bubble show.)","","",""
"Secor Farms ~60 min路程 9/17-10/31","","",""