"","机构","地点","时间","花费","注册网址"
"网球","Bridgewater Recreation","Harry Ally Park","Spring","$96 for 5 weekly class","https://brd.leagueapps.com/pages/registration"
"网球","Bridgewater Recreation","Harry Ally Park","July-August (4 weeks)","$86 for 4 days per week","https://brd.leagueapps.com/pages/registration"
"网球","Somerset Park","Green Knoll Tennis","late June-July (5 weeks)","$80 for 5 days per week","http://www.somersetcountyparks.org/onLine_Registration/OnLineRegistration.html"
"网球","Somerset Park","Colonial Park","August (2 weeks)","$80 for 5 days per week","http://www.somersetcountyparks.org/onLine_Registration/OnLineRegistration.html"
"网球","Hillsborough Tennis Plus","6 Dickerson Road, Hillsborough","Year around","",""
"乒乓球","Topspin","1 Jill Ct, Hillsborough","Year around","$30-35 per 30 min class","Wechat"
"游泳","Little Dolphin","","Year around","",""
"游泳","Life Time","","Year around","",""
"游泳","YMCA","","Year around","",""
"游泳","JCC","","Year around","",""
"游泳私教","start making waves","","Year around","$54 per 30 min","https://startmakingwaves.com/bridgewater-nj-lessons/"
"游泳私教","YMCA","","Year around","private class: with coach $75 per 45 min, $290 for 4 classes; without coach $65 per 45 min, $250 for 4 classes. semi-private classes: with coach $62 per 45 min, $245 for 4 classes; without coach $46 per 45 min, $185 for 4 classes.",""
"体操","Paramount Gymnastics","","Year around","",""
"体操","YMCA","","Year around","",""
"花滑/冰球","Bridgewater Sports Arena","","Year around","",""
"速滑","Garden State Skating at Bridgewater Sports Arena","","Year around","",""
"中文","华夏","桥水高中","School Year Sunnday morning","",""
"中文","酷中文","Basking Ridge","After school or Saturday","",""
"中文","酷中文","Basking Ridge","Summer Camp","",""
"中文","翰文院","Berkeley heights","Year around","",""
"跳舞","金花","Somerville","Year around","",""
"跳舞","Studio L","Bridgewater","Year around","",""
"羽毛球","NEBC","142 Belmont Dr #7, Somerset ","","",""
"羽毛球","","","","",""
"足球","DTS","300 Memorial Dr, Somerset, NJ 08873","Year around","",""
"足球","","","","",""
"棒球","","","","",""
"棒球","","","","",""
"垒球","","","","",""
"垒球","","","","",""
"篮球","","","","",""
"篮球","","","","",""
"排球","","","","",""
"排球","","","","",""